Organism Name,# of essential genes,NCBI Taxonomy ID
Corynebacterium ciconiae,542,1121356
Corynebacterium diphtheriae,306,698964
Corynebacterium doosanense,411,558173
Corynebacterium durum,565,1035195
Corynebacterium falsenii,276,1451189
Corynebacterium freiburgense,314,1121360
Corynebacterium freneyi,449,1287475
Corynebacterium genitalium,519,585529
Corynebacterium glucuronolyticum,688,548477
Corynebacterium glutamicum,454,196627
Corynebacterium glycinophilum,584,1404245
Corynebacterium halotolerans,339,1121362
Corynebacterium imitans,317,156978
Corynebacterium jeikeium,316,306537
Corynebacterium kroppenstedtii,389,645127
Corynebacterium lipophiloflavum,477,525263
Corynebacterium lubricantis,682,1121363
Corynebacterium maris,311,1224163
Corynebacterium massiliense,233,1121364
Corynebacterium mastitidis,451,1121365
Corynebacterium matruchotii,554,553207
Corynebacterium nuruki,807,863239
Corynebacterium pilosum,571,1121366
Corynebacterium propinquum,225,1121367
Corynebacterium pseudogenitalium,538,525264
Corynebacterium pseudotuberculosis,343,1719
Corynebacterium pyruviciproducens,533,1125779
Corynebacterium resistens,254,662755
Corynebacterium sp. ATCC6931,325,1487956
Corynebacterium sp. GD7,263,1232427
Corynebacterium sp. JCB,250,1414719
Corynebacterium sp. KPL1859,528,1203566
Corynebacterium sp. KPL1860,507,1203567
Corynebacterium sp. KPL1989,278,1203622
Corynebacterium sp. KPL2004,535,1203632
Corynebacterium sputi,693,1111729
Corynebacterium striatum,333,525268
Corynebacterium terpenotabidum,298,1200352
Corynebacterium timonense,271,1203190
Corynebacterium tuscaniense,140,1401064
Corynebacterium ulcerans,249,945712
Corynebacterium ulceribovis,300,1121370
Corynebacterium urealyticum,159,504474
Corynebacterium variabile,397,858619
Corynebacterium vitaeruminis,497,1224164
Coxiella burnetii,343,227377
Crinalium epipsammum,996,1173022
Cronobacter condimenti,1029,1073999
Cryobacterium roopkundense,454,1001240
Cryptobacterium curtum,97,469378
